criando ST...
arquivo lido e ST construida em 0.083471 segundos
Possiveis operacoes do teste interativo:
minST, delminST, getST <chave>; rankST <chave>, deleteST <chave>, selectST <int>
CRTL-D para encerrar.
>>> #27236: 1
$1: 1
$5,000: 1
&: 1780
'AS-IS': 1
1: 1
1.A: 1
1.B: 1
1.C: 2
1.D: 1
1.E: 2
1.E.1: 5
1.E.2: 1
1.E.3: 1
1.E.4: 1
1.E.5: 1
1.E.6: 1
1.E.7: 3
1.E.8: 4
1.E.9: 3
1.F: 1
1.F.1: 1
1.F.2: 1
1.F.3: 4
1.F.4: 1
1.F.5: 1
1.F.6: 1
11: 1
1500: 1
1572: 1
2: 1
20%: 1
2001: 1
2008: 1
27236-0.txt: 1
27236-0.zip: 1
3: 3
30: 1
4: 3
4557: 1
5: 1
50: 1
501(c)(3: 2
596-1887: 1
60: 1
64-6221541: 1
801: 1
809: 1
84116: 1
90: 2
99712: 1
A: 359
ACTUAL: 1
AGREE: 2
AGREEMENT: 1
AK: 1
AND: 1
ANY: 3
ANYTHING: 1
ASCII: 2
Aa: 21
Aaquelles: 2
Aas: 13
Abaxando: 1
Abaxandolhe: 1
Abaxão: 1
Abaſia: 1
Abaſsis: 2
Abila: 4
About: 1
Abrahão: 1
Abranches: 1
Abrandar: 1
Abrantes: 3
Abraça: 1
Abraçado: 1
Abraçados: 1
Abre: 1
Abrem: 1
Abrindo: 4
Abrindoo: 1
Abrolhos: 1
Abſolutas: 1
Acabeſe: 1
Accidalia: 1
Acendeſe: 1
Acertão: 1
Aceſo: 1
Achamos: 1
Acharmos: 1
Acharão: 1
Acharſe: 1
Achas: 1
Achaua: 1
Achemenia: 1
Acheronte: 1
Achiles: 5
Achitector: 1
Achiſes: 1
Acidalia: 1
Aconteceo: 1
Acorda: 3
Acriſo: 1
Acroceraunios: 1
Acteon: 2
Actias: 1
Acude: 1
Acudo: 1
Adamantino: 2
Adamaſtor: 1
Adamaſtor,&: 1
Additional: 1
Adem: 1
Adiuinhar: 1
Adonis: 1
Adormecer: 1
Adriatica: 1
Adultera: 1
Adão: 2
Affamadas: 1
Affeiçoada: 1
Affiguradas: 1
Affonſo: 25
Affonſos: 1
Affrica: 9
Affricana: 3
Affricanas: 2
Affricano: 1
Affrico: 1
Afonſo: 2
Afonſos: 1
Afora: 1
Africa: 7
Africana: 1
Afrinano: 1
Aganipe: 1
Agar: 3
Agareno: 2
Agaſalhados: 1
Agoa: 1
Agoas: 1
Agora: 21
Agoſto: 1
Agradecendo: 1
Agripina: 1
Agueas: 1
Aiace: 1
Ainda: 5
Ainão: 1
Ajudada: 1
Ajudado: 1
Ajudao: 1
Ajunta: 1
Ajuntame: 1
Ajuntando: 1
Ajuntarem: 1
Ajuntaſe: 1
Ajão: 1
Alanquer: 1
Albis: 2
Albuquerque: 3
Alcançada: 1
Alcanção: 1
Alcaçare: 2
Alcaçer: 1
Alcaçere: 2
Alcides: 4
Alcino: 1
Alcioneas: 1
Alcorão: 1
Alegremente: 1
Alegres: 2
Alegria: 1
Alem: 2
Alemanha: 3
Alemos: 1
Alemães: 2
Alencastro: 1
Alerta: 1
Aleto: 1
Aleuantando: 3
Aleuantaſe: 1
Alexandre: 2
Alexandrina: 1
Alexandro: 4
Alexandros: 1
Alfeo: 1
Alferez: 1
Alferezes: 1
Algarues: 2
Algum: 4
Alguns: 2
Algũas: 4
Algũs: 10
Ali: 33
Alija: 2
Alimpamos: 1
Aliphantes: 1
Almada: 1
Almas: 1
Almeidas: 1
Almena: 1
Aloe: 1
Altamente: 1
Alteradas: 1
Alto: 1
Altos: 2
Altura: 1
Aluara: 2
Aluarez: 1
Aluaro: 2
Alueres: 1
Alumno: 1
Alçaſe: 1
Amaina: 2
Amalthea: 1
Amando: 1
Amanſadas: 1
Amaſis: 1
Ambas: 1
Ambos: 5
Ambroſia: 1
Ameaçando: 1
Ameudam: 1
Amon: 1
Amor: 14
Amoras: 1
Amores: 1
Amoſtrando: 1
Amoſtrarão: 1
Ampaza: 1
Ampeluſa: 2
Amphioneas: 1
Amão: 1
Anafis: 1
Anda: 2
Andais: 1
Andaluzia: 2
Andando: 1
Andar: 1
Andariamos: 1
Andarlhe: 1
Andarão: 1
Andaua: 2
Andromeda: 1
Andão: 2
Anfitrite: 2
Angelica: 4
Angelico: 1
Angelicos: 1
Anibais: 1
Anibal: 1
Animais: 3
Anjos: 3
Anrique: 2
Antariuo: 1
Antartico: 3
Antarticos: 1
Ante: 3
Antenor: 2
Anteo: 3
Antepoſer: 1
Antes: 8
Anteuem: 1
Antidoto: 1
Antigos: 1
Antiguidades: 1
Antipodas: 1
Antonio: 7
Antão: 1
Anubis: 1
Any: 1
Ao: 30
Aonde: 3
Aonia: 1
Aos: 6
Aparece: 1
Apareceo: 1
Aparelhamos: 1
Aparta: 1
Apartadas: 1
Apeles: 1
Apercebem: 1
Apercebido: 1
Apinino: 1
Apio: 1
Apodrecia: 1
Apolina: 1
Apolineos: 1
Apolo: 8
Apos: 1
Apoſentos: 1
Apto: 1
Apulia: 1
Aqueles: 1
Aquella: 4
Aquellas: 3
Aquelle: 8
Aquelles: 4
Aquem: 1
Aqui: 36
Aquillo: 1
Aquilo: 2
Ar: 2
Ara: 1
Arabia: 7
Arabias: 1
Arabica: 3
Arabicas: 1
Arabico: 1
Arabio: 1
Aragão: 1
Arame: 1
Araſpas: 1
Arcadia: 1
Archetipo: 1
Archive: 13
Arcos: 1
Arcturo: 2
Arde: 1
Ardente: 1
Ardis: 1
Arduo: 1
Aretuſa: 1
Argo: 1
Argonautas: 2
Argos: 2
Ariete: 1
Armadas: 1
Armanſe: 1
Armas: 5
Armaſe: 1
Armenia: 1
Armenios: 1
Armou: 1
Armuza: 1
Aromâta: 1
Arpias: 1
Arquico: 2
Arracão: 1
Arrancão: 1
Arrepião: 1
Arrombão: 1
Arronches: 2
Arruinar: 1
Artabro: 1
Aruoredo: 1
Aruſpices: 1
Arzilla: 1
Arſinario: 1
Arſinoe: 2
As: 115
Astianas: 1
Astrolabio: 1
Astutas: 1
Ata: 1
Atada: 1
Atamante: 1
Atay: 1
Ate: 17
Atenas: 1
Atenta: 2
Aterra: 1
Athenas: 1
Ati: 1
Atila: 1
Atlante: 3
Atlantico: 2
Atreu: 1
Atroces: 1
Atropos: 1
Atê: 1
Auante: 3
Auendo: 2
Auenturarme: 1
Auera: 1
Aues: 1
Auguſto: 2
Auguſtos: 1
Aurea: 2
Aurora: 12
Austeros: 1
Austrais: 1
Austrina: 1
Author: 1
Auâs: 1
Auô: 1
Auſonia: 1
Auſonios: 1
Auſpicio: 1
Auſtral: 2
Auſtralo: 1
Auſtro: 9
Axio: 1
Azenegues: 1
Açoute: 2
Aſaboro: 1
Aſia: 7
Aſianas: 1
Aſsi: 46
Aſsiria: 3
Aſsirios: 1
Aſtrea: 1
Aſturias: 2
Aſſentarey: 1
Aſſopralhe: 1
B: 1
BE: 1
BEFORE: 1
BREACH: 2
BUT: 1
Babel: 3
Babilonias: 1
Bacanôr: 1
Bacaro: 1
Bacho: 2
Baco: 14
Bactra: 1
Badajoz: 2
Bago: 1
Balduuino: 1
Baluartes: 1
Banda: 3
Bandeira: 2
Banharemſe: 1
Banharme: 1
Banquetes: 1
Baptista: 2
Barbara: 1
Barbaria: 1
Barbarîa: 1
Barborâ: 1
Barem: 2
Baroẽs: 2
Batalha: 1
Batalhas: 1
Bateis: 1
Baticalâ: 1
Batro: 1
Baçaîm: 1
Baſiliſcos: 2
Baſta: 1
Beadala: 1
Beadâla: 1
Beatriz: 1
Bebendo: 1
Beijar: 1
Beja: 3
Beliſario: 1
Bellem: 1
Belona: 1
Bem: 21
Bengala: 2
Benjamim: 1
Benomotapa: 1
Berberia: 1
Bethis: 1
Betica: 1
Betis: 2
Bibli: 1
Bintão: 1
Bipur: 1
Bizancio: 2
Bizcainha: 1
Biſpo: 1
Boa: 2
Bocijando: 1
Boemios: 1
Bolonhes: 1
Bombardas: 1
Bombardeiros: 1
Bootes: 1
Boreais: 3
Boreal: 1
Boreas: 7
Bornèo: 1
Bradando: 1
Brama: 1
Bramando: 1
Bramene: 1
Bramenes: 3
Bramido: 1
Bramidos: 1
Bramindo: 1
Bramàs: 1
Branda: 1
Brandindo: 1
Braua: 1
Brauos: 1
Braço: 1
Braços: 1
Braſil: 1
Bretanha: 1
Breue: 1
Briareo: 1
Brigo: 1
Bruſio: 1
Buſcando: 3
Buſcar: 1
Buſcarlhe: 1
Buſcas: 1
Buſco: 1
Buſcão: 1
Buſiris: 1
By: 1
CAMÕES: 1
COM: 1
CONSEQUENTIAL: 1
CONTRACT: 1
Ca: 2
Cabaya: 1
Cabeças: 1
Cabo: 13
Cada: 1
Cadahum: 1
Cadeira: 1
Cadhũa: 1
Cadmo: 1
Cadro: 1
Cae: 2
Caem: 1
Cafres: 2
Cair: 2
Cairão: 1
Calada: 1
Calatraua: 1
Calayate: 1
Calccu: 1
Calecu: 7
Calic�: 1
Caliope: 3
Calipſos: 1
Caliz: 1
Caliſto: 3
Calleſe: 1
Calpe: 1
Camaroẽs: 2
Cambaia: 1
Cambaica: 1
Cambaico: 1
Cambalcos: 1
Cambalão: 1
Cambaya: 3
Camboja: 1
Camenas: 2
Caminho: 2
Caminhão: 1
Camiſio: 1
Camorî: 1
Camoẽs: 3
Campaſpe: 1
Campos: 1
Camões: 4
Canace: 1
Cananor: 3
Canareas: 1
Canarâ: 1
Canas: 1
Cancro: 1
Candace: 1
Canella: 1
Cangrejos: 1
Canina: 1
Cantando: 2
Cantar: 1
Cantaua: 3
Cantem: 1
Cantigas: 1
Canto: 10
Cantos: 2
Capadoçes: 1
Capaçetes: 1
Capitaina: 2
Capitães: 1
Capitão: 47
Caramujos: 1
Carauellas: 1
Caribdis: 2
Cariolano: 1
Carlos: 3
Carmania: 2
Carmeſi: 2
Carneyro: 1
Carpella: 1
Carthago: 1
Carualho: 1
Caspios: 1
Castel: 1
Castelhana: 1
Castelhano: 5
Castelhanos: 1
Castella: 5
Castro: 1
Caterina: 2
Catilina: 1
Catuais: 2
Catual: 11
Caualeiros: 1
Caualeyros: 1
Cauallos: 1
Caualos: 1
Cauchichina: 1
Caudinas: 1
Cauernas: 1
Cauſas: 1
Caça: 1
Caſa: 1
Caſo: 2
Caſos: 1
Caſpia: 1
Caſpios: 1
Caſsiopea: 1
Caſtelhana: 1
Caſtelhanas: 1
Caſtelhano: 9
Caſtelhanos: 2
Caſtella: 11
Caſtigarâ: 1
Caſtro: 2
Cecêm: 1
Cegos: 1
Ceilão: 4
Ceita: 4
Celeſte: 2
Celo: 2
Centimano: 1
Cenſigo: 1
Ceo: 43
Ceos: 9
Cercadas: 1
Cercado: 2
Cercar: 1
Cercão: 1
Cereijas: 1
Ceres: 4
Certificarte: 1
Certifico: 1
Certiſsimo: 1
Certos: 1
Cerua: 2
Ceruos: 1
Ceſar: 4
Ceſarea: 1
Ceſareos: 1
Ceſares: 1
Ceſſe: 1
Ceſſem: 1
Chale: 2
Chama: 2
Chamando: 2
Chamandoſe: 1
Chamante: 2
Chamarâ: 1
Chamaſe: 1
Chameime: 1
Champà: 1
Chamão: 1
Chamãolhe: 1
Chancellaria: 1
Chaos: 1
Character: 1
Chatigão: 1
Chaul: 2
Chega: 1
Chegada: 1
Chegado: 2
Chegados: 1
Chegar: 1
Chegaua: 1
Chegaſſe: 1
Cheiro: 2
Cheiroſo: 1
Cheos: 1
Cherſoneſo: 3
Cheyo: 1
Chiamay: 1
Chief: 1
Chimêra: 1
China: 4
Chorarão: 1
Choroute: 1
Chouem: 1
Christal: 1
Christianiſsima: 1
Christianiſsimo: 1
Christo: 11
Christãos: 3
Chrisſtãos: 1
Chriſtalmo: 1
Chriſtandade: 4
Chriſtaã: 1
Chriſto: 11
Chriſtouão: 1
Chriſtão: 4
Chriſtãos: 7
Chupando: 1
Cicero: 1
Cicones: 1
Cidade: 15
Cidades: 2
Cidreira: 1
Cinco: 3
Cingapura: 1
Cinoſura: 1
Cinto: 1
Cipariſo: 1
Cipião: 1
Cipria: 2
Circes: 2
Ciro: 1
Citara: 1
Citia: 1
City: 1
Ciuis: 1
Ciumes: 1
Cizimbra: 1
Ciſne: 2
Ciſnes: 1
Ciſternas: 1
Claras: 1
Clariſsimo: 1
Cleonêo: 1
Cleopatra: 1
Clicie: 1
Clima: 1
Climas: 1
Climêne: 1
Cloris: 1
Cloto: 1
Co: 48
Coa: 1
Cobrem: 1
Cochim: 2
Cochim,com: 1
Cocito: 1
Cocles: 1
Codro: 1
Coelho: 4
Coella: 1
Coelle: 3
Coello: 1
Coesta: 1
Coimbra: 1
Colcos: 2
Colofonia: 1
Coloſſo: 1
Columbo: 1
Com: 184
Combaterà: 1
Comecem: 1
Comecey: 1
Comendadores: 1
Comendo: 1
Comerçio: 1
Cometas: 1
Comete: 1
Cometendo: 1
Cometer: 1
Cometerâ: 1
Cometerão: 2
Cometão: 1
Começa: 6
Começando: 1
Começaſe: 1
Começolhe: 1
Começão: 2
Comigo: 1
Como: 65
Comori: 1
Comorim: 1
Compliance: 1
Compos: 1
Comprido: 1
Comprirà: 1
Compunha: 1
Comuns: 1
Conca: 1
Concebe: 1
Conceito: 1
Concertos: 1
Concertã: 1
Concha: 1
Concilião: 1
Conde: 8
Condenarã: 1
Condes: 1
Condiçam: 1
Condição: 1
Conduzidos: 1
Conduzirmos: 1
Confeſſarme: 1
Configo: 1
Conforme: 1
Confuſo: 1
Congo: 1
Conhecido: 1
Conheça: 1
Conquiſtado: 1
Conta: 2
Contact: 1
Contando: 2
Contarei: 1
Contarte: 1
Contas: 1
Contente: 1
Contigo: 1
Contou: 1
Contra: 28
Contributions: 1
Contão: 1
Conuerte: 1
Conuerteſeme: 1
Conuoca: 2
Conuocados: 1
Conſelho: 1
Conſente: 1
Conſentem: 1
Conſigo: 2
Conſolação: 1
Conſul: 1
Copyright: 1
Cor: 1
Coração: 2
Cordoua: 1
Cores: 1
Cori: 1
Cornelio: 1
Coros: 1
Corpo: 1
Corre: 3
Correa: 1
Correm: 2
Correndo: 3
Corrente: 1
Correo: 1
Correyo: 1
Corrupto: 1
Corrutos: 1
Cortando: 2
Cortaua: 1
Corteſaõs: 1
Cortiça: 1
Cortão: 1
Coruino: 1
Cos: 27
Costa: 1
Coturno: 1
Coulete: 1
Coulão: 1
Couſa: 1
Couſas: 2
Cozinheiros: 1
Coſta: 3
Coſtantino: 2
Coſtumados: 1
Cranganor: 1
Crauo: 2
Creating: 1
Crebros: 1
Credito: 1
Credulidade: 1
Crem: 1
Crendo: 3
Crer: 1
Cres: 2
Creſcendo: 1
Creſpas: 1
Criando: 1
Criſes: 1
Crocodilo: 1
Cruz: 4
Crês: 1
Cuama: 1
Cubertos: 1
Cuida: 1
Cuidou: 1
Cuja: 9
Cujas: 1
Cujo: 4
Cujos: 1
Culpa: 2
Cum: 10
Cume: 1
Cunha: 2
Cupido: 3
Curcio: 1
Curral: 1
Curua: 1
Curão: 1
Curſo: 1
Curſos: 1
Cutiâle: 1
Cuyda: 1
Cuydão: 1
Cuſtartemos: 1
Cybele: 1
Cyclopas: 1
Cydenêo: 1
Cyfiſia: 1
Cylenêo: 1
Cynifio: 1
Cyniras: 2
Cynirea: 1
Cynoſura: 1
Cypro: 1
Cytaras: 1
Cytas: 1
Cyterea: 3
Cythere: 1
Cythêra: 1
Cânfora: 1
Cães: 2
Cão: 2
Cîtara: 1
Cũa: 3
Cũas: 1
DAMAGE: 1
DAMAGES: 2
DE: 2
DIRECT: 1
DISCLAIMER: 1
DISTRIBUTE: 1
DISTRIBUTOR: 1
DONATIONS: 1
Da: 114
Dabul: 1
Dada: 1
Dagoa: 1
Daime: 3
Daimo: 1
Dalem: 1
Dalgum: 1
Dalhe: 4
Dali: 2
Dalmatas: 1
Dama: 2
Damas: 1
Damaſceno: 1
Damaſco: 1
Dambas: 1
Dambos: 1
Damor: 1
Dando: 6
Dano: 1
Danoſo: 1
Dantre: 2
Danubio: 1
Daphne: 2
Daquella: 3
Daquelle: 3
Daquelles: 6
Daqui: 9
Dar: 3
Dardania: 2
Dareis: 1
Daria: 1
Dario: 2
Darlhe: 2
Darmas: 1
Darte: 1
Darzira: 1
Darâ: 1
Das: 53
Date: 1
Dauid: 2
Day: 3
De: 335
Dea: 1
Debaixo: 2
Debatem: 1
Debaxo: 5
Decanis: 1
Decendo: 1
Decer: 2
Decerão: 1
Decimo: 1
Decios: 1
Dedalea: 1
Defect: 1
Defects: 1
Defendem: 1
Defenderey: 1
Defendey: 1
Defronte: 2
Degradado: 1
Deidades: 1
Deita: 1
Deitado: 1
Deitando: 3
Deixa: 2
Deixamos: 2
Deixando: 6
Deixas: 1
Deixo: 1
Deixou: 3
Deixão: 1
Delfim: 1
Delfins: 1
Delijs: 1
Delio: 2
Della: 1
Delle: 6
Delles: 2
Delos: 1
Dem: 2
Demo: 1
Demodoco: 1
Demonio: 2
Demonios: 1
Demos: 1
Dentro: 2
Deos: 57
Deoſa: 19
Deoſas: 6
Deoſes: 29
Deoſos: 1
Depois: 1
Dereitas: 1
Derriba: 2
Derão: 2
Desbarata: 1
Desbaratado: 2
Desbaratados: 1
Desbaratareis: 1
Desbaratarâ: 1
Desfez: 1
Despite: 1
Despois: 2
Despreza: 1
Desta: 7
Destarte: 3
Deste: 1
Destes: 3
Destro: 1
Destruydos: 1
Determina: 1
Determinadamente: 1
Determiney: 2
Determinão: 2
Deu: 1
Deueis: 1
Deulhe: 1
Deuſes: 2
Dexperiencia: 1
Deyxando: 1
Deſafios: 1
Deſcalços: 1
Deſcobre: 1
Deſcobridor: 1
Deſcobrila: 1
Deſcobrir: 1
Deſculpado: 1
Deſculpas: 1
Deſde: 1
Deſdo: 1
Deſeja: 3
Deſejando: 1
Deſejar: 1
Deſejo: 1
Deſejos: 1
Deſejou: 1
Deſejoſo: 1
Deſembarcamos: 1
Deſembargadores: 1
Deſerta: 1
Deſistir: 1
Deſpanto: 1
Deſpede: 1
Deſpertai: 1
Deſpertando: 1
Deſpois: 27
Deſprezador: 1
Deſque: 1
Deſta: 15
Deſtarte: 3
Deſtas: 1
Deſte: 3
Deſtemparada: 1
Deſtes: 4
Deſtroidos: 1
Deſtroirâ: 1
Deſtruindo: 1
Deſtruiçam: 2
Deſſa: 1
Deſſas: 1
Deſſe: 1
Deſſes: 2
Dhum: 4
Dhũa: 4
Diamante: 3
Diana: 5
Diante: 3
Digital_: 2
Digno: 2
Dina: 2
Dinheiros: 1
Dinis: 2
Dino: 1
Dinos: 1
Dio: 8
Diogo: 1
Diomedes: 1
Dione: 3
Director: 1
Direito: 1
Direitos: 1
Dirâ: 1
Dite: 1
Ditoſa: 2
Diuerſo: 1
Diuerſos: 2
Diuidindo: 1
Diuina: 2
Diuinos: 1
Diuos: 1
Diz: 4
Dizeilhe: 1
Dizeimo: 1
Dizem: 6
Dizendo: 9
Dizer: 2
Dizerte: 1
Dizey: 1
Dizia: 4
Dizlhe: 3
Diſſe: 4
Do: 156
Doce: 1
Doe: 1
Doenças: 1
Dofar: 1
Dom: 3
Domain: 1
Domar: 1
Domeſticos: 1
Donations: 2
Donde: 7
Dorcadas: 1
Doris: 4
Dos: 63
Douro: 5
Dous: 5
Doutra: 2
Douuos: 1
Dozentos: 1
Dr: 2
Droga: 1
Duarte: 1
Duas: 1
Dum: 4
Duque: 6
Dura: 1
Duro: 1
Dâ: 4
Dâbul: 1
Dâmão: 1
Dão: 3
Dãos: 1
Dũas: 1
E: 462
EBOOK: 2
EBook: 3
EIN: 1
END: 1
EVEN: 1
EXCEPT: 1
EXPRESS: 1
Eborenſes: 1
Eccleſiastico: 1
Edificão: 1
Efeyto: 1
Efire: 1
Egas: 6
Egeo: 1
Egipcia: 4
Egipto: 3
Egito: 1
Eilos: 1
Eis: 18
Elementos: 1
Elena: 1
Eliſio: 1
Ella: 9
Ellas: 3
Elle: 7
Elles: 1
Eluas: 2
Em: 127
Email: 1
Emanoel: 1
Emanuel: 1
Emathio: 1
Embaixador: 1
Embarcaçam: 1
Embarcação: 2
Embarcações: 1
Emispherio: 1
Emiſperio: 2
Emiſpherio: 1
Emodio: 1
Emperador: 3
Emperio: 1
Empireo: 1
Emporio: 1
Encelado: 1
Enche: 2
Enchem: 2
Enchendo: 1
Encherãome: 1
Encima: 1
Encobrem: 1
Encomendado: 1
Encoſtaſe: 1
Encreſpa: 1
End: 1
Eneas: 7
Enfim: 1
Engano: 1
Enganos: 1
Engroſſando: 1
Engulindo: 1
Eniocos: 1
Enrique: 3
Enriquez: 1
Entam: 1
Entende: 1
Entender: 1
Entra: 3
Entramos: 1
Entrando: 2
Entranhas: 1
Entrarão: 2
Entraua: 2
Entre: 28
Entrega: 1
Entregaiuos: 1
Entregando: 1
Entres: 1
Entruaa: 1
Entrão: 1
Então: 2
Enuejoſo: 1
Enuerdecem: 1
Enxerga: 1
Enxergarão: 1
Eoa: 1
Eolo: 4
Eoo: 1
Epicurea: 1
Era: 14
Eram: 2
Eranceſes: 1
Erdaſte: 1
Erdeiro: 1
Erguidos: 1
Ericina: 2
Erimanto: 1
Erinis: 1
Eritreas: 3
Eritreo: 1
Eroicos: 1
Erros: 1
Erão: 5
Esbombardea: 1
Esforço: 1
Esta: 2
Estando: 1
Estara: 1
Estas: 4
Estaua: 4
Este: 7
Estes: 3
Estigio: 1
Estorninhos: 1
Estoura: 1
Estoutro: 2
Estranhos: 1
Estrellas: 2
Estâ: 2
Estão: 1
Eterea: 2
Etereo: 2
Eterna: 1
Eternidade: 1
Eternos: 1
Etherea: 1
Ethiopes: 1
Ethiopia: 4
Ethiopica: 1
Etiope: 1
Etiopes: 1
Etiopia: 1
Etna: 1
Eu: 19
Eufrates: 2
Euora: 1
Euridiçe: 1
Euriſteo: 1
Europa: 9
Europeas: 1
Euxinio: 1
Except: 2
Executa: 1
Executive: 1
Exemplos: 1
Exercitauão: 1
Exercitos: 1
Ey: 1
Eſcala: 1
Eſcandinauia: 1
Eſcarlata: 1
Eſcolheo: 1
Eſconde: 2
Eſcreue: 1
Eſcreuendo: 1
Eſcudos: 1
Eſculpidas: 1
Eſculpido: 2
Eſcura: 1
Eſcuros: 1
Eſmeraldas: 1
Eſpanha: 11
Eſpanhoes: 1
Eſpantado: 2
Eſpeciaria: 1
Eſpedação: 1
Eſpelho: 1
Eſpera: 3
Eſperallo: 1
Eſperança: 1
Eſperas: 1
Eſperem: 1
Eſperico: 1
Eſperão: 1
Eſphera: 2
Eſpoſa: 1
Eſpoſas: 1
Eſquadrão: 1
Eſquecerenſe: 1
Eſquecidos: 1
Eſta: 15
Eſtam: 1
Eſtandarte: 1
Eſtando: 6
Eſtanho: 1
Eſtarâ: 1
Eſtarão: 1
Eſtas: 7
Eſtaua: 4
Eſtauas: 1
Eſtauaſe: 1
Eſtauão: 2
Eſtava: 1
Eſte: 34
Eſtelifero: 1
Eſtendem: 1
Eſtendeo: 1
Eſtes: 5
Eſteuão: 1
Eſtige: 1
Eſtigio: 1
Eſtio: 1
Eſtorua: 1
Eſtoutro: 1
Eſtrabo: 1
Eſtrada: 1
Eſtrangeiros: 1
Eſtranha: 1
Eſtranhamente: 1
Eſtranho: 1
Eſtreito: 1
Eſtrella: 1
Eſtrellas: 4
Eſtremadura: 1
Eſtà: 4
Eſtâ: 1
Eſtão: 7
Eſſa: 1
Eſſe: 1
F: 6
F3: 1
FIM: 1
FITNESS: 1
FOR: 3
FOUNDATION: 1
FULL: 2
Fabio: 1
Fabulas: 1
Facilmente: 1
Fado: 2
Fados: 1
Fairbanks: 1
Fala: 1
Falando: 1
Falerno: 1
Fallar: 1
Falſidade: 1
Fama: 3
Famas: 1
Fantaſiando: 1
Fantaſticas: 1
Faraô: 1
Fareis: 1
Faria: 1
Farpões: 1
Fartaque: 1
Fartar: 1
Farà: 2
Faràque: 1
Farâ: 6
Farão: 1
Fatidiça: 1
Fauonio: 1
Fauoreceyos: 1
Faya: 1
Faz: 9
Fazei: 1
Fazem: 6
Fazendo: 7
Fazendoa: 1
Fazendoſe: 3
Fazer: 3
Fazey: 1
Faça: 2
Façaſe: 1
Faſis: 1
Fe: 4
Febea: 1
Febo: 3
Federico: 1
Fee: 1
Feita: 1
Feitas: 1
Feitos: 3
Felipe: 1
Feliz: 1
Fenix: 1
Fere: 1
Ferido: 1
Ferina: 1
Fermoſa: 1
Fermoſas: 2
Fermoſos: 1
Fernandez: 1
Fernando: 11
Fernão: 2
Feros: 2
Fertil: 1
Feruendo: 1
Fez: 4
Feſteja: 1
Fgipcio: 1
Fiado: 1
Ficarão: 1
Ficaua: 3
Ficauanos: 1
Fico: 1
Ficou: 1
Ficoulhe: 1
Ficão: 1
Fiel: 1
Filho: 4
Filhos: 1
Filipo: 2
Fim: 4
Fingidos: 1
Fingindo: 1
Fingio: 1
Fingirão: 1
Fizemos: 1
Fizer: 1
Fizerão: 2
Flora: 3
Floreçe: 1
Focas: 1
Foge: 3
Fogo: 5
Foi: 5
Fonte: 1
For: 2
Fora: 4
Foram: 2
Forjou: 1
Fortaleza: 1
Fortalezas: 2
Forte: 1
Fortes: 1
Fortiſsimos: 1
Fortuna: 8
Fortunadas: 1
Forão: 9
Forçado: 1
Forças: 1
Foundation: 21
Foundation's: 3
Foy: 18
Foſſe: 1
Foſſem: 1
Fraca: 1
Frances: 2
Franceſa: 1
Franciſco: 1
Frandes: 3
França: 4
Fraqueza: 1
Frota: 1
Frotas: 1
Frãça: 1
Fuas: 2
Fuge: 2
Fugindo: 4
Fujirme: 1
Full: 1
Fuluia: 1
Futuro: 1
Fuy: 2
Fè: 1
Fê: 2
GIVE: 1
GUTENBERG: 3
GUTENBERG-tm: 1
Gabello: 1
Gaditano: 1
Galatea: 1
Galego: 1
Galegos: 2
Galgos: 1
Galia: 2
Gallo: 1
Galos: 1
Gama: 46
